language_code,language,lemma,pos,rows_for_this_lemma_pos_in_extract,raw_frequency,frequency_per_million,sentence_count,sentence_dispersion,source_count,source_dispersion,arf_reduced_frequency,arf_per_million,frequency_band,sample_size_requested,sample_size_available,sample_size_taken,has_full_requested_sample,min_arf_per_million,sampling_method,random_seed,sentence_id,sentence_uid,sentence,selected_for_check
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,46017,en_d9db326db770,"And for low-income countries, monitoring capacity and regulatory ability still present a challenge in scaling the trading scheme.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,50136,en_15ea8a6c7570,"And most people, when they’re enjoying things, will perform to their best ability.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,99771,en_5c81b784306a,A very underrated part of his game is his scrambling ability and his ability to create second-chance opportunities for his offense on his feet.,True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,144653,en_431721c0e202,"“By keeping it so general, it … gives each side an ability to spin the deal in a way that most favors them,” he said.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,156399,en_4cfc9879afcd,"Chinese AI developer DeepSeek has unveiled its latest model, DeepSeek-V3.2-Exp, describing it as an “experimental release” with improved training efficiency and enhanced ability to handle long text sequences.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,162353,en_165470daaf34,"Combined with 8 hero abilities, the game offers endless deck-building possibilities.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,166199,en_fdc2b24222b8,"Consultant, Gail, offered unwavering belief in Carol’s ability to lose weight, and the following 12 months were a meaningful journey for the 52-year-old who says the support, understanding and friendships she developed were crucial to her success.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,187140,en_484a3b478545,"Doctors told him his symptoms would get worse very quickly, taking away his ability to walk and confining him to a wheelchair.",True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,201213,en_283783b4e597,Either for giving in to the CFMEU or apparently declaring the ability for workers and their AWU representatives to access the sites through building union blockades wasn’t their problem.,True
en,English,ability,NOUN,50,2593,111.513,2570,0.00257,2558,0.002976,1490.662,64.106,high,50,2570,50,True,50,streamed_reservoir_sampling,20260603,210160,en_02dd898a6caf,"Eventually, he gives up his ability to become pharaoh to support the Jewish people.",True
