display_order,top_level_label,subcategory_id,subcategory_label,function_id,function_label,definition,pilot_core_recommended,cefr_function_level_min_provisional,cefr_function_level_core_provisional,positive_examples,near_miss_examples,common_confusions,decision_rule,do_not_use_when,example_notes,calibration_priority,manual_review_amendment_status,manual_review_evidence_count,manual_review_error_patterns
1,Information and factual communication,1.1,Giving factual information,INF_01,stating_facts,States a factual proposition.,yes,A1,A2,"He knows the ability of players in the league. || Most people, when they are enjoying things, will perform to their best ability.","A very underrated part of his game is his scrambling ability. || Eventually, he gives up his ability to become pharaoh to support the Jewish people. || Research across manufacturing and consumer sectors shows relationships between quality and loyalty. || One standout feature is the ability to roll back firmware versions.",describing_characteristics; evaluating_quality; narrating_events; reporting_past_events; explaining_consequences; reporting_statistics; defining_terms,Use as a last-resort factual label only when the sentence states a simple proposition and no more specific CEFR-derived function fits.,"Do not use for sentences that define terms, evaluate quality or importance, narrate events, report a specific event, explain causes or consequences, describe characteristics/features, give examples, or report statistics. Do not use merely because the sentence is declarative.","Manual review showed that “stating_facts” became a generic fallback. The annotation procedure should first test all more specific reporting, description, narration, explanation, and evaluation labels.",critical,amended_from_manual_diagnostic_batches_v1,7+,generic_fallback_error; declarative_sentence_trap
2,Information and factual communication,1.1,Giving factual information,INF_02,giving_personal_information,"Gives name, age, address, family, background, role or similar personal information.",no,A1,A1,The notice gives personal information for visitors. || The webpage provides clear personal information about the service.,The sentence asks for information rather than giving it. || The sentence evaluates information rather than providing it.,stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives name, age, address, family, background, role or similar personal information.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
3,Information and factual communication,1.1,Giving factual information,INF_03,giving_practical_information,"Gives times, prices, dates, places, quantities or other practical information.",yes,A1,A1,The notice gives practical information for visitors. || The webpage provides clear practical information about the service.,The population rose by 12% between 2010 and 2019. || The court ruled that the company had broken the law.,reporting_statistics; specifying_details; giving_public_information,"Use when the sentence as a whole communicatively performs this function: Gives times, prices, dates, places, quantities or other practical information.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
4,Information and factual communication,1.1,Giving factual information,INF_04,giving_public_information,"Gives civic, institutional or public-service information.",no,A1,A2,The notice gives public information for visitors. || The webpage provides clear public information about the service.,The sentence asks for information rather than giving it. || The sentence evaluates information rather than providing it.,stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives civic, institutional or public-service information.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
5,Information and factual communication,1.1,Giving factual information,INF_05,giving_specialist_information,"Gives technical, academic, professional or field-specific information.",yes,B1,B2,The notice gives specialist information for visitors. || The webpage provides clear specialist information about the service.,The sentence asks for information rather than giving it. || The sentence evaluates information rather than providing it.,stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Gives technical, academic, professional or field-specific information.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
6,Information and factual communication,1.1,Giving factual information,INF_06,reporting_results,"Reports results, findings, scores, outcomes or data.",yes,B1,B2,The study found that the treatment reduced pain in most patients. || The exam results showed a clear improvement in reading scores.,"In 2019, the study began at three hospitals. || The report explains why the treatment may work.",reporting_past_events; relaying_specific_information; media_reporting,"Use when the sentence as a whole communicatively performs this function: Reports results, findings, scores, outcomes or data.","Do not use when the sentence only contains a topic cue; check whether narration, description, explanation or evaluation is the main function.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
7,Information and factual communication,1.1,Giving factual information,INF_07,reporting_statistics,Gives numerical or statistical information.,yes,B1,B2,"Estimated annual number of HCV infections through vertical transmission increased in the study period. || From a starting number of 128, there have been 120 exits. || Research across manufacturing and consumer sectors shows measurable relationships between quality, loyalty, reputation, and premium pricing.","In 2019, fire crews were called to tackle a suspected arson attack. || Combined with 8 hero abilities, the game offers endless deck-building possibilities. || He managed to rack up a total of 233 appearances during his two spells at the Theatre of Dreams. || Despite a modest box office showing, the film has strong Rotten Tomatoes and audience scores.",reporting_past_events; describing_characteristics; specifying_details; explaining_consequences; contrasting_ideas; evaluating_quality,"Use only when the sentence reports quantitative evidence, statistical findings, rates, estimates, proportions, trends, comparative figures, correlations, research results, or numerical summaries as the main communicative function.","Do not use merely because the sentence contains a year, date, age, time, ranking, score, money amount, single count, technical topic, sports statistic, product number, game feature number, or measurement. If the number is supporting detail inside an event report, description, evaluation, contrast, or explanation, use that function as primary and statistics only as secondary if useful.","Manual review showed both overuse and underuse. The key boundary is whether the sentence is reporting quantitative evidence as its main function, not whether it simply contains numbers.",critical,amended_from_manual_diagnostic_batches_v1,8+,number_trap; technical_topic_trap; statistics_overreach; statistics_underuse
8,Information and factual communication,1.1,Giving factual information,INF_08,reporting_changes,"Reports increases, decreases, developments or changes.",yes,B1,B2,Prices increased sharply during the first half of the year. || The rules changed after the review was completed.,The price is £12.50 for adults. || The meeting took place in 2019.,reporting_past_events; relaying_specific_information; media_reporting,"Use when the sentence as a whole communicatively performs this function: Reports increases, decreases, developments or changes.","Do not use when the sentence only contains a topic cue; check whether narration, description, explanation or evaluation is the main function.",Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,high,not_amended_in_v1,0,
9,Information and factual communication,1.1,Giving factual information,INF_09,identifying_information,"Identifies who, what, where or when.",no,A1,A1,"This sentence identifies who, what, where or when. || The text clearly identifies who, what, where or when.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Identifies who, what, where or when.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
10,Information and factual communication,1.1,Giving factual information,INF_10,specifying_details,"Adds precise details, limits, conditions or qualifications.",no,A1,A2,"This sentence adds precise details, limits, conditions or qualifications. || The text clearly adds precise details, limits, conditions or qualifications.","The sentence only contains a surface cue associated with this label. || A more specific reporting, narration, explanation or evaluation label may fit better.",stating_facts; relaying_specific_information; reporting_past_events,"Use when the sentence as a whole communicatively performs this function: Adds precise details, limits, conditions or qualifications.",Do not use for a sentence that merely mentions this topic or contains a surface cue; tag the whole-sentence communicative purpose.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
11,Information and factual communication,1.2,Asking for information,INF_11,asking_for_information,Asks for factual information.,no,A1,A1,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,The sentence gives information rather than asking for it. || The speaker reports that someone asked a question.,giving_practical_information; checking_understanding; asking_for_clarification,Use when the sentence as a whole communicatively performs this function: Asks for factual information.,Do not use for reported questions unless the sentence itself is asking the reader or listener.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
12,Information and factual communication,1.2,Asking for information,INF_12,asking_for_confirmation,Asks whether something is correct.,no,A1,A2,Could you tell me more about the meeting schedule? || Can you confirm whether the office is open tomorrow?,The sentence gives information rather than asking for it. || The speaker reports that someone asked a question.,giving_practical_information; checking_understanding; asking_for_clarification,Use when the sentence as a whole communicatively performs this function: Asks whether something is correct.,Do not use for reported questions unless the sentence itself is asking the reader or listener.,Positive examples explicitly perform the named communicative function. Near misses share a surface cue or topic area but should be tagged by the whole-sentence purpose.,standard,not_amended_in_v1,0,
